Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775833800,12,,Aggregated,3.500000,0.000000,910,2400,3100,3700,4900,7300,7700,8200,9200,9200,9200,147,2,910,2054.3319365852044,409.54072500244365,9243.017058000987,191.6530612244898
1775833801,12,,Aggregated,3.200000,0.100000,910,2300,3100,3700,4900,7300,7700,8200,9200,9200,9200,148,2,900,2045.5052052096084,409.54072500244365,9243.017058000987,194.30405405405406
1775833802,12,,Aggregated,3.400000,0.100000,910,2400,3100,3700,4900,7300,7700,8200,9200,9200,9200,149,2,910,2058.305366899487,409.54072500244365,9243.017058000987,195.6711409395973
1775833803,12,,Aggregated,3.400000,0.100000,910,2400,3100,3700,4900,7300,7700,8200,9200,9200,9200,149,2,910,2058.305366899487,409.54072500244365,9243.017058000987,195.6711409395973
1775833804,12,,Aggregated,3.300000,0.100000,940,2600,3400,3700,4700,7300,7700,8200,9200,9200,9200,153,2,940,2102.0730793596135,409.54072500244365,9243.017058000987,200.88888888888889
1775833805,12,,Aggregated,3.300000,0.100000,1000,2700,3400,3700,4900,7300,7700,8200,9200,9200,9200,160,2,1000,2159.629118256362,409.54072500244365,9243.017058000987,205.81875
1775833806,12,,Aggregated,3.000000,0.100000,1000,2700,3400,3700,4700,7100,7700,8200,9200,9200,9200,161,2,1000,2152.5978563044623,409.54072500244365,9243.017058000987,204.6335403726708
1775833807,12,,Aggregated,3.500000,0.100000,1000,2700,3400,3700,4700,7100,7700,8200,9200,9200,9200,163,2,1000,2134.471132196435,409.54072500244365,9243.017058000987,205.79754601226995
1775833808,12,,Aggregated,3.200000,0.100000,980,2700,3300,3700,4700,7100,7700,8200,9200,9200,9200,165,2,980,2118.8749266970704,409.54072500244365,9243.017058000987,210.38181818181818
1775833809,12,,Aggregated,2.700000,0.100000,1000,2600,3100,3700,4500,7100,7700,8200,9200,9200,9200,174,2,1000,2094.9210827356987,409.54072500244365,9243.017058000987,215.55747126436782
1775833810,12,,Aggregated,2.600000,0.000000,1000,2500,3100,3600,4500,7100,7700,8200,9200,9200,9200,177,2,1000,2069.742676559386,409.54072500244365,9243.017058000987,218.58757062146893
1775833811,12,,Aggregated,3.000000,0.000000,1000,2400,3100,3600,4500,7100,7700,8200,9200,9200,9200,180,2,980,2042.5624816278287,409.54072500244365,9243.017058000987,215.19444444444446
1775833812,12,,Aggregated,2.900000,0.000000,970,2400,3100,3600,4500,6600,7700,8200,9200,9200,9200,185,2,970,2004.7758295730334,409.54072500244365,9243.017058000987,215.93513513513514
1775833813,12,,Aggregated,3.000000,0.000000,960,2300,3100,3600,4500,6600,7700,8200,9200,9200,9200,187,2,960,1989.5561712941742,409.54072500244365,9243.017058000987,213.7860962566845
1775833814,12,,Aggregated,3.300000,0.000000,940,2200,3100,3600,4500,6600,7700,8200,9200,9200,9200,190,2,930,1967.8955883684753,409.54072500244365,9243.017058000987,216.63684210526316
1775833815,12,,Aggregated,3.700000,0.000000,940,2200,3000,3600,4400,6600,7700,8200,9200,9200,9200,193,2,940,1961.4888041244321,409.54072500244365,9243.017058000987,221.38341968911917
1775833816,12,,Aggregated,3.700000,0.000000,940,2100,3000,3600,4400,6600,7700,8200,9200,9200,9200,195,2,940,1949.8949081436597,409.54072500244365,9243.017058000987,222.1846153846154
1775833817,12,,Aggregated,3.700000,0.000000,940,2100,3000,3600,4400,6600,7700,8200,9200,9200,9200,195,2,940,1949.8949081436597,409.54072500244365,9243.017058000987,222.1846153846154
1775833818,12,,Aggregated,3.100000,0.000000,980,2400,3100,3600,4400,5100,7600,7700,9200,9200,9200,202,2,980,2002.196334410989,409.54072500244365,9243.017058000987,232.88118811881188
1775833819,12,,Aggregated,3.400000,0.000000,970,2400,3100,3600,4400,5100,7600,7700,9200,9200,9200,205,2,970,1979.5952856391086,409.54072500244365,9243.017058000987,229.69268292682926
1775833820,12,,Aggregated,3.800000,0.000000,960,2300,3100,3600,4400,5100,7600,7700,9200,9200,9200,209,2,960,1963.6986333350376,409.54072500244365,9243.017058000987,230.13875598086125
1775833821,12,,Aggregated,3.800000,0.000000,970,2200,3000,3400,4300,5100,7600,7700,9200,9200,9200,213,2,970,1956.186076699625,409.54072500244365,9243.017058000987,228.7699530516432
1775833822,12,,Aggregated,3.400000,0.000000,940,2200,3000,3400,4300,5100,7600,7700,9200,9200,9200,217,2,940,1929.5062356498752,409.54072500244365,9243.017058000987,227.4516129032258
1775833823,12,,Aggregated,3.400000,0.000000,940,2200,3000,3400,4300,5100,7600,7700,9200,9200,9200,217,2,940,1929.5062356498752,409.54072500244365,9243.017058000987,227.4516129032258
1775833824,12,,Aggregated,3.400000,0.000000,940,2200,3000,3400,4300,5100,7600,7700,9200,9200,9200,217,2,940,1929.5062356498752,409.54072500244365,9243.017058000987,227.4516129032258
1775833825,12,,Aggregated,3.100000,0.000000,980,2200,3000,3300,4300,5100,7600,7700,9200,9200,9200,224,2,980,1939.778852232215,409.54072500244365,9243.017058000987,229.3125
1775833826,12,,Aggregated,2.800000,0.000000,1000,2300,3000,3400,4300,5100,7600,7700,9200,9200,9200,229,2,1000,1954.3629921922072,409.54072500244365,9243.017058000987,227.117903930131
1775833827,12,,Aggregated,2.800000,0.000000,1000,2300,3000,3400,4300,5100,7600,7700,9200,9200,9200,232,2,980,1946.6816509526514,409.54072500244365,9243.017058000987,226.02586206896552
1775833828,12,,Aggregated,2.900000,0.000000,980,2200,3000,3400,4300,5100,7600,7700,9200,9200,9200,234,2,980,1934.9805400342561,409.54072500244365,9243.017058000987,226.65384615384616
1775833829,12,,Aggregated,3.700000,0.000000,980,2200,3000,3300,4300,5100,7600,7700,9200,9200,9200,237,2,980,1925.8671810211843,409.54072500244365,9243.017058000987,225.59071729957805
1775833830,12,,Aggregated,3.700000,0.000000,980,2200,3000,3200,4300,5100,7600,7700,9200,9200,9200,244,2,970,1907.387194573857,409.54072500244365,9243.017058000987,228.87704918032787
1775833831,12,,Aggregated,3.000000,0.000000,960,2100,2900,3200,4300,5100,7600,7700,9200,9200,9200,250,2,940,1879.4265556241005,409.54072500244365,9243.017058000987,226.02
1775833832,12,,Aggregated,3.000000,0.000000,940,2100,2900,3200,4200,5100,7400,7700,9200,9200,9200,251,2,940,1875.2112908367421,409.54072500244365,9243.017058000987,227.44621513944224
1775833833,12,,Aggregated,3.600000,0.000000,930,2100,2900,3200,4200,5100,7400,7700,9200,9200,9200,255,2,930,1853.8531625098817,409.54072500244365,9243.017058000987,226.34509803921569
1775833834,12,,Aggregated,3.400000,0.000000,900,2000,2800,3200,4200,5100,7400,7700,9200,9200,9200,260,2,890,1831.856103496228,409.54072500244365,9243.017058000987,228.84615384615384
